,City,Lat,Long,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,ribeira grande,38.5167,-28.7,294.37,78,20,4.63,PT,1622913894
1,punta arenas,-53.15,-70.9167,277.21,87,20,3.38,CL,1622913896
2,busselton,-33.65,115.3333,286.53,79,16,5.01,AU,1622913898
3,upernavik,72.7868,-56.1549,276.16,84,56,1.16,GL,1622913899
4,ushuaia,-54.8,-68.3,274.94,80,40,1.54,AR,1622913822
5,saint-philippe,-21.3585,55.7679,296.9,84,44,2.24,RE,1622913904
6,rosita,13.9268,-84.4032,304.87,56,78,1.64,NI,1622913905
7,port alfred,-33.5906,26.891,289.59,83,0,6.39,ZA,1622913699
8,bredasdorp,-34.5322,20.0403,284.77,87,0,0.98,ZA,1622913910
9,cabo san lucas,22.8909,-109.9124,310.82,37,1,4.12,MX,1622913861
10,nanortalik,60.1432,-45.2371,280.81,66,98,5.3,GL,1622913913
11,pevek,69.7008,170.3133,278.82,92,100,5.43,RU,1622913915
12,eyl,7.9803,49.8164,300.4,78,51,9.76,SO,1622913916
13,luderitz,-26.6481,15.1594,293.23,39,0,3.91,NA,1622913919
14,mataura,-46.1927,168.8643,277.37,95,52,0.23,NZ,1622914178
15,alugan,12.2188,125.4808,298.73,89,99,1.88,PH,1622913794
16,klaksvik,62.2266,-6.589,283.66,90,55,5.88,FO,1622913924
17,bluff,-46.6,168.3333,282.18,69,90,3.39,NZ,1622913925
